1,Afghanistan,AFG,3,14,Kabul,33.000000,65.000000
2,Aland Islands,ALA,4,18,Mariehamn,60.116667,19.900000
3,Albania,ALB,4,16,Tirana,41.000000,20.000000
4,Algeria,DZA,1,1,Algiers,28.000000,3.000000
5,American Samoa,ASM,5,22,Pago Pago,-14.333333,-170.000000
6,Andorra,AND,4,16,Andorra la Vella,42.500000,1.500000
7,Angola,AGO,1,2,Luanda,-12.500000,18.500000
8,Anguilla,AIA,2,7,The Valley,18.250000,-63.166667
9,Antarctica,ATA,6,,,-74.650000,4.480000
10,Antigua and Barbuda,ATG,2,7,St. John's,17.050000,-61.800000
11,Argentina,ARG,2,8,Buenos Aires,-34.000000,-64.000000
12,Armenia,ARM,3,11,Yerevan,40.000000,45.000000
13,Aruba,ABW,2,7,Oranjestad,12.500000,-69.966667
14,Australia,AUS,5,19,Canberra,-27.000000,133.000000
15,Austria,AUT,4,17,Vienna,47.333333,13.333333
16,Azerbaijan,AZE,3,11,Baku,40.500000,47.500000
18,Bahrain,BHR,3,11,Manama,26.000000,50.550000
19,Bangladesh,BGD,3,14,Dhaka,24.000000,90.000000
20,Barbados,BRB,2,7,Bridgetown,13.166667,-59.533333
21,Belarus,BLR,4,15,Minsk,53.000000,28.000000
22,Belgium,BEL,4,17,Brussels,50.833333,4.000000
23,Belize,BLZ,2,9,Belmopan,17.250000,-88.750000
24,Benin,BEN,1,3,Porto-Novo,9.500000,2.250000
25,Bermuda,BMU,2,6,Hamilton,32.333333,-64.750000
26,Bhutan,BTN,3,14,Thimphu,27.500000,90.500000
27,Bolivia,BOL,2,8,Sucre,-17.000000,-65.000000
155,"Bonaire, Sint Eustatius and Saba",BES,2,7,Kralendijk,12.150000,-68.266667
28,Bosnia and Herzegovina,BIH,4,16,Sarajevo,44.000000,18.000000
29,Botswana,BWA,1,5,Gaborone,-22.000000,24.000000
30,Bouvet Island,BVT,6,,,-54.433333,3.400000
31,Brazil,BRA,2,8,Brasilia,-10.000000,-55.000000
32,British Indian Ocean Territory,IOT,1,4,Diego Garcia,-6.000000,71.500000
33,Brunei,BRN,3,13,Bandar Seri Begawan,4.500000,114.666667
34,Bulgaria,BGR,4,15,Sofia,43.000000,25.000000
35,Burkina Faso,BFA,1,3,Ouagadougou,13.000000,-2.000000
36,Burundi,BDI,1,4,Bujumbura,-3.500000,30.000000
37,Cambodia,KHM,3,13,Phnom Penh,13.000000,105.000000
38,Cameroon,CMR,1,2,Yaounde,6.000000,12.000000
39,Canada,CAN,2,6,Ottawa,60.000000,-95.000000
40,Cape Verde,CPV,1,3,Praia,16.000000,-24.000000
41,Cayman Islands,CYM,2,7,George Town,19.500000,-80.500000
42,Central African Republic,CAF,1,2,Bangui,7.000000,21.000000
43,Chad,TCD,1,2,N'Djamena,15.000000,19.000000
44,Chile,CHL,2,8,Santiago,-30.000000,-71.000000
45,China,CHN,3,12,Beijing,35.000000,105.000000
46,Christmas Island,CXR,5,19,Flying Fish Cove,-10.500000,105.666667
47,Cocos (Keeling) Islands,CCK,5,19,West Island,-12.500000,96.833333
48,Colombia,COL,2,8,Bogotá,4.000000,-72.000000
49,Comoros,COM,1,4,Moroni,-12.166667,44.250000
50,Congo,COG,1,2,Brazzaville,-1.000000,15.000000
52,Cook Islands,COK,5,22,Avarua,-21.233333,-159.766667
53,Costa Rica,CRI,2,9,San Jose,10.000000,-84.000000
54,Cote D'Ivoire (Ivory Coast),CIV,1,3,Yamoussoukro,8.000000,-5.000000
55,Croatia,HRV,4,16,Zagreb,45.166667,15.500000
56,Cuba,CUB,2,7,Havana,21.500000,-80.000000
249,Curaçao,CUW,2,7,Willemstad,12.116667,-68.933333
57,Cyprus,CYP,4,16,Nicosia,35.000000,33.000000
58,Czech Republic,CZE,4,15,Prague,49.750000,15.500000
51,Democratic Republic of the Congo,COD,1,2,Kinshasa,0.000000,25.000000
59,Denmark,DNK,4,18,Copenhagen,56.000000,10.000000
60,Djibouti,DJI,1,4,Djibouti,11.500000,43.000000
61,Dominica,DMA,2,7,Roseau,15.416667,-61.333333
62,Dominican Republic,DOM,2,7,Santo Domingo,19.000000,-70.666667
64,Ecuador,ECU,2,8,Quito,-2.000000,-77.500000
65,Egypt,EGY,1,1,Cairo,27.000000,30.000000
66,El Salvador,SLV,2,9,San Salvador,13.833333,-88.916667
67,Equatorial Guinea,GNQ,1,2,Malabo,2.000000,10.000000
68,Eritrea,ERI,1,4,Asmara,15.000000,39.000000
69,Estonia,EST,4,18,Tallinn,59.000000,26.000000
212,Eswatini,SWZ,1,5,Mbabane,-26.500000,31.500000
70,Ethiopia,ETH,1,4,Addis Ababa,8.000000,38.000000
